ProductTitle,Category,Gender,Price_USD,Color,Size,UnitsSold,TotalRevenue,PriceCategory,SalesCategory
Relaxed Blouse 129,Dress,Women,83.9,Pink,XL,64,5369.6,Medium,Slow Mover
Flowy T-Shirt 278,Outerwear,Men,144.15,Blue,XS,89,12829.35,High,Slow Mover
Tailored T-Shirt 564,Top,Women,37.06,Black,M,328,12155.68,Low,Moderate Seller
Flowy Skirt 567,Accessory,Women,31.29,Red,XL,221,6915.09,Low,Moderate Seller
Modern Blouse 148,Accessory,Men,41.93,White,XL,387,16226.91,Low,Moderate Seller
Relaxed Dress 389,Dress,Women,77.37,Beige,M,143,11063.91,Medium,Moderate Seller
Tailored Sweater 895,Dress,Women,79.1,White,S,107,8463.7,Medium,Moderate Seller
Urban Jeans 519,Top,Women,31.06,Blue,S,442,13728.52,Low,Hot Seller
Essential Dress 613,Dress,Women,62.9,Gray,XL,59,3711.1,Medium,Slow Mover
Relaxed Jacket 651,Outerwear,Women,104.99,Beige,L,66,6929.34,High,Slow Mover
Urban T-Shirt 824,Top,Unisex,38.56,Black,XL,352,13573.12,Low,Moderate Seller
Classic Shorts 516,Bottom,Women,80.12,Beige,S,39,3124.68,Medium,Slow Mover
Flowy Sweater 481,Top,Women,47.41,White,XL,148,7016.68,Low,Moderate Seller
Urban Dress 174,Dress,Women,81.1,Green,XS,54,4379.4,Medium,Slow Mover
Flowy Pants 822,Bottom,Women,49.8,Blue,L,192,9561.6,Low,Moderate Seller
Flowy Dress 801,Dress,Women,66.82,Gray,XL,74,4944.68,Medium,Slow Mover
Classic Pants 460,Top,Women,49.25,Gray,S,320,15760.0,Low,Moderate Seller
Vintage Skirt 440,Accessory,Unisex,36.8,Black,M,579,21307.2,Low,Hot Seller
Essential Sweater 719,Outerwear,Unisex,145.39,White,L,67,9741.13,High,Slow Mover
Vintage Dress 979,Dress,Women,89.5,Red,L,26,2327.0,Medium,Slow Mover
Classic T-Shirt 219,Top,Unisex,28.6,White,L,541,15472.6,Low,Hot Seller
Modern Jacket 509,Outerwear,Women,168.1,Green,S,44,7396.4,High,Slow Mover
Tailored Jacket 152,Outerwear,Unisex,182.26,Blue,XL,53,9659.78,High,Slow Mover
Modern Sweater 231,Top,Men,43.23,Black,L,164,7089.72,Low,Moderate Seller
Tailored Jeans 580,Bottom,Unisex,76.54,Blue,S,46,3520.84,Medium,Slow Mover
Classic Blouse 617,Top,Women,36.43,Red,M,344,12531.92,Low,Moderate Seller
Relaxed Jeans 766,Bottom,Men,52.26,White,XL,413,21583.38,Medium,Hot Seller
Urban Shorts 406,Accessory,Unisex,40.09,Blue,XL,130,5211.7,Low,Moderate Seller
Flowy Jeans 103,Bottom,Women,75.14,White,M,143,10745.02,Medium,Moderate Seller
Vintage Jacket 643,Outerwear,Women,119.55,Red,XL,64,7651.2,High,Slow Mover
Essential Shorts 518,Accessory,Women,31.42,Pink,L,482,15144.44,Low,Hot Seller
Vintage T-Shirt 469,Top,Women,41.49,Green,S,375,15558.75,Low,Moderate Seller
Relaxed Skirt 644,Bottom,Unisex,78.29,Red,L,107,8377.03,Medium,Moderate Seller
Urban Skirt 958,Accessory,Unisex,17.2,Gray,XL,123,2115.6,Low,Moderate Seller
Tailored Blouse 888,Top,Women,31.95,White,S,285,9105.75,Low,Moderate Seller
Urban Pants 877,Bottom,Men,56.12,Blue,S,145,8137.4,Medium,Moderate Seller
Flowy Shorts 822,Bottom,Unisex,82.49,Gray,XL,148,12208.52,Medium,Moderate Seller
Modern T-Shirt 815,Top,Women,39.67,Black,S,557,22096.19,Low,Hot Seller
Tailored Dress 862,Dress,Unisex,117.89,Black,M,87,10256.43,High,Slow Mover
Vintage Sweater 970,Top,Men,33.09,Gray,M,593,19622.37,Low,Hot Seller
Modern Pants 777,Accessory,Men,40.59,Beige,XS,173,7022.07,Low,Moderate Seller
Essential T-Shirt 321,Top,Women,52.41,White,S,380,19915.8,Medium,Moderate Seller
Tailored Pants 566,Bottom,Men,44.91,Gray,L,521,23398.11,Low,Hot Seller
Classic Sweater 201,Top,Women,35.63,Black,S,194,6912.22,Low,Moderate Seller
Vintage Jeans 693,Bottom,Men,85.29,Gray,XS,67,5714.43,Medium,Slow Mover
Flowy Jacket 264,Outerwear,Women,174.52,Black,S,20,3490.4,High,Slow Mover
Relaxed T-Shirt 738,Top,Women,31.7,Green,L,226,7164.2,Low,Moderate Seller
Modern Blouse 125,Top,Women,29.98,Blue,L,164,4916.72,Low,Moderate Seller
Classic Shorts 161,Bottom,Women,59.38,Red,S,581,34500.0,Medium,Hot Seller
Urban Blouse 897,Top,Women,32.22,Black,M,344,11083.68,Low,Moderate Seller
Flowy Dress 846,Dress,Women,74.96,Pink,L,53,3972.88,Medium,Slow Mover
Essential Shorts 498,Bottom,Men,60.83,White,L,75,4562.25,Medium,Slow Mover
Vintage Blouse 208,Top,Women,47.88,Gray,XS,548,26238.24,Low,Hot Seller
Modern T-Shirt 726,Top,Men,34.49,Gray,S,441,15210.09,Low,Hot Seller
Essential Skirt 615,Bottom,Women,52.2,White,L,546,28501.2,Medium,Hot Seller
Tailored Sweater 891,Top,Women,49.25,Blue,XS,471,23200.0,Low,Hot Seller
Urban Pants 336,Bottom,Women,69.57,Gray,XL,74,5148.18,Medium,Slow Mover
Modern Pants 329,Bottom,Men,47.87,Green,L,258,12350.46,Low,Moderate Seller
Flowy Skirt 458,Bottom,Unisex,81.16,White,M,52,4220.32,Medium,Slow Mover
Classic Dress 723,Dress,Women,62.83,White,XL,133,8356.39,Medium,Moderate Seller
Relaxed Blouse 359,Top,Women,43.23,Pink,L,229,9899.67,Low,Moderate Seller
Urban Jacket 693,Outerwear,Women,125.13,Gray,M,92,11511.96,High,Slow Mover
Classic T-Shirt 153,Top,Unisex,42.42,Green,L,411,17434.62,Low,Hot Seller
Relaxed Pants 989,Bottom,Men,57.17,Blue,M,330,18866.1,Medium,Moderate Seller
Vintage Dress 972,Dress,Unisex,67.66,White,L,121,8186.86,Medium,Moderate Seller
Vintage T-Shirt 257,Top,Men,46.06,Green,S,124,5711.44,Low,Moderate Seller
Tailored Skirt 864,Bottom,Women,50.7,Red,S,569,28848.3,Medium,Hot Seller
Urban Skirt 216,Bottom,Women,53.25,Gray,S,395,21033.75,Medium,Moderate Seller
Relaxed Shorts 842,Bottom,Unisex,87.69,Black,S,75,6576.75,Medium,Slow Mover
Modern Jacket 474,Outerwear,Unisex,166.44,Gray,S,144,23967.36,High,Moderate Seller
Relaxed Dress 387,Dress,Women,119.26,Green,S,116,13834.16,High,Moderate Seller
Relaxed Skirt 687,Bottom,Men,75.05,Gray,XL,131,9831.55,Medium,Moderate Seller
Flowy Blouse 690,Top,Unisex,50.18,White,XS,405,20322.9,Medium,Hot Seller
Urban T-Shirt 628,Top,Men,30.34,White,S,497,15078.98,Low,Hot Seller
Vintage Sweater 520,Top,Women,35.45,Black,S,143,5069.35,Low,Moderate Seller
Vintage Jacket 642,Outerwear,Unisex,117.84,Blue,XS,117,13787.28,High,Moderate Seller
Urban Dress 306,Dress,Men,85.58,Gray,S,96,8215.68,Medium,Slow Mover
Modern Dress 269,Dress,Unisex,107.03,Pink,S,96,10274.88,High,Slow Mover
Essential Blouse 935,Top,Women,33.09,Green,S,360,11912.4,Low,Moderate Seller
Vintage Pants 576,Bottom,Women,60.84,Gray,S,45,2737.8,Medium,Slow Mover
Essential Sweater 792,Top,Unisex,51.01,White,XL,228,11630.28,Medium,Moderate Seller
Modern Sweater 217,Top,Men,33.91,Green,S,304,10308.64,Low,Moderate Seller
Flowy T-Shirt 996,Top,Men,28.66,Green,XL,226,6477.16,Low,Moderate Seller
Urban Skirt 667,Bottom,Women,62.85,Blue,XS,108,6787.8,Medium,Moderate Seller
Tailored Shorts 264,Bottom,Men,87.73,Pink,L,119,10439.87,Medium,Moderate Seller
Classic Jeans 891,Bottom,Men,56.77,Beige,M,197,11183.69,Medium,Moderate Seller
Flowy Pants 559,Bottom,Women,52.34,Pink,M,275,14393.5,Medium,Moderate Seller
Vintage Shorts 711,Bottom,Women,79.52,Green,L,66,5248.32,Medium,Slow Mover
Classic Jacket 136,Outerwear,Men,109.91,Gray,M,143,15717.13,High,Moderate Seller
Classic Blouse 618,Accessory,Unisex,36.56,Black,M,345,12613.2,Low,Moderate Seller
Relaxed Jeans 270,Bottom,Unisex,76.54,Red,M,70,5357.8,Medium,Slow Mover
Relaxed Sweater 713,Top,Unisex,31.25,Gray,L,383,11968.75,Low,Moderate Seller
Relaxed Shorts 132,Accessory,Unisex,26.43,Red,S,558,14748.0,Low,Hot Seller
Urban Sweater 263,Top,Men,40.59,Gray,XL,383,15546.0,Low,Moderate Seller
Modern Dress 702,Dress,Unisex,114.7,Blue,M,135,15484.5,High,Moderate Seller
Tailored Dress 905,Dress,Women,83.02,Blue,XL,105,8717.1,Medium,Moderate Seller
Vintage T-Shirt 153,Top,Men,53.49,Gray,S,547,29259.03,Medium,Hot Seller
Modern Shorts 184,Bottom,Unisex,63.92,White,S,39,2492.88,Medium,Slow Mover
Vintage Skirt 422,Bottom,Women,74.56,Red,XL,29,2162.24,Medium,Slow Mover
Urban Blouse 317,Top,Women,39.46,Pink,L,521,20558.66,Low,Hot Seller
Essential Sweater 327,Top,Men,40.16,Pink,XS,263,10562.08,Low,Moderate Seller
Flowy Sweater 457,Top,Unisex,36.51,Black,XL,387,14129.37,Low,Moderate Seller
Urban Shorts 195,Bottom,Men,86.27,Red,M,144,12422.88,Medium,Moderate Seller
Essential Jeans 912,Bottom,Unisex,64.3,Beige,M,52,3343.6,Medium,Slow Mover
Modern Shorts 482,Bottom,Men,59.3,Gray,M,245,14528.5,Medium,Moderate Seller
Classic Skirt 148,Bottom,Women,49.91,White,S,442,22060.22,Low,Hot Seller
Tailored Blouse 897,Top,Women,33.09,Green,S,586,19390.74,Low,Hot Seller
Essential Jacket 590,Outerwear,Men,114.28,Red,L,89,10170.92,High,Slow Mover
Vintage Jacket 263,Outerwear,Women,107.57,Red,S,145,15597.65,High,Moderate Seller
Relaxed Jacket 602,Outerwear,Unisex,145.72,Gray,XL,64,9326.08,High,Slow Mover
Vintage Dress 411,Dress,Women,101.99,Black,S,143,14584.57,High,Moderate Seller
Essential T-Shirt 329,Top,Men,27.1,Pink,XS,178,4825.8,Low,Moderate Seller
Flowy Shorts 820,Bottom,Men,75.92,Green,M,141,10704.72,Medium,Moderate Seller
Classic Sweater 208,Top,Women,35.15,Red,M,329,11564.35,Low,Moderate Seller
Tailored Jacket 309,Outerwear,Men,112.55,Blue,S,40,4502.0,High,Slow Mover
Modern Skirt 735,Accessory,Women,39.63,Green,S,120,4755.6,Low,Moderate Seller
Essential Shorts 516,Bottom,Men,47.02,White,M,239,11237.78,Low,Moderate Seller
Urban Jeans 592,Bottom,Unisex,85.66,Blue,S,141,12078.06,Medium,Moderate Seller
Relaxed Dress 492,Dress,Women,77.58,Red,XL,74,5740.92,Medium,Slow Mover
Essential Blouse 734,Top,Women,58.82,Green,M,219,12881.58,Medium,Moderate Seller
Urban Dress 482,Dress,Women,99.85,Blue,S,48,4792.8,Medium,Slow Mover
Relaxed Sweater 719,Top,Unisex,38.83,Beige,S,392,15221.36,Low,Moderate Seller
Relaxed Pants 656,Bottom,Men,88.75,Gray,XL,148,13135.0,Medium,Moderate Seller
Flowy Sweater 250,Top,Unisex,36.93,Black,L,235,8678.55,Low,Moderate Seller
Classic Blouse 409,Top,Women,29.98,Green,XS,322,9653.56,Low,Moderate Seller
Modern Pants 260,Bottom,Men,47.37,White,XS,502,23780.0,Low,Hot Seller
Vintage Blouse 203,Top,Women,49.25,Gray,S,315,15513.75,Low,Moderate Seller
Relaxed Dress 831,Dress,Women,111.96,Blue,M,108,12091.68,High,Moderate Seller
Modern Jeans 574,Bottom,Unisex,80.12,Red,XS,89,7130.68,Medium,Slow Mover
Classic Jacket 134,Outerwear,Men,97.74,Green,M,143,13976.82,Medium,Moderate Seller
Urban Pants 456,Bottom,Women,59.38,Red,M,365,21673.7,Medium,Moderate Seller
Tailored Dress 838,Dress,Women,97.9,Pink,M,145,14195.5,Medium,Moderate Seller
Tailored Skirt 342,Accessory,Women,29.35,Pink,S,553,16230.55,Low,Hot Seller
Flowy Jeans 282,Bottom,Women,69.57,Gray,M,139,9670.23,Medium,Moderate Seller
Modern Blouse 935,Top,Women,52.41,White,XL,413,21655.33,Medium,Hot Seller
Essential Skirt 624,Bottom,Women,56.59,Gray,XL,133,7526.47,Medium,Moderate Seller
Relaxed Blouse 314,Top,Women,56.9,Red,S,346,19690.0,Medium,Moderate Seller
Classic Dress 448,Dress,Women,96.88,Gray,XS,67,6490.96,Medium,Slow Mover
Essential Sweater 722,Top,Men,46.06,Black,S,285,13127.1,Low,Moderate Seller
Vintage Jeans 274,Bottom,Men,56.77,Gray,XL,309,17541.93,Medium,Moderate Seller
Vintage Sweater 524,Top,Women,35.15,Red,S,174,6116.1,Low,Moderate Seller
Tailored T-Shirt 275,Top,Women,40.1,Beige,L,544,21814.4,Low,Hot Seller
Relaxed T-Shirt 424,Top,Men,42.42,Pink,S,195,8271.9,Low,Moderate Seller
Classic Jeans 140,Bottom,Unisex,85.29,Blue,L,119,10149.51,Medium,Moderate Seller
Urban T-Shirt 321,Top,Women,55.08,Red,L,147,8096.76,Medium,Moderate Seller
Urban Dress 173,Dress,Men,109.91,Gray,L,38,4176.58,High,Slow Mover
Essential Jacket 368,Outerwear,Men,155.02,White,M,92,14261.84,High,Slow Mover
Classic Pants 430,Bottom,Women,62.85,Blue,XS,269,16906.65,Medium,Moderate Seller
Relaxed Shorts 618,Bottom,Men,56.12,Red,L,314,17621.68,Medium,Moderate Seller
Tailored Sweater 510,Top,Women,40.1,Red,L,334,13393.4,Low,Moderate Seller
Modern Jeans 578,Bottom,Women,49.25,Green,XL,171,8421.75,Low,Moderate Seller
Relaxed Jacket 834,Outerwear,Men,195.04,Red,S,67,13067.68,High,Slow Mover
Vintage Dress 127,Dress,Women,104.99,Blue,XS,120,12598.8,High,Moderate Seller
Modern Sweater 230,Top,Men,56.77,Beige,XS,488,27703.76,Medium,Hot Seller
Tailored Shorts 294,Bottom,Men,68.94,Green,XL,85,5859.9,Medium,Slow Mover
Modern Skirt 848,Accessory,Unisex,43.77,Green,L,102,4464.54,Low,Moderate Seller
Tailored Jeans 724,Bottom,Unisex,59.38,Beige,L,303,17992.14,Medium,Moderate Seller
Relaxed Sweater 711,Top,Unisex,46.06,White,M,194,8935.64,Low,Moderate Seller
Flowy Pants 113,Bottom,Women,49.25,Beige,S,371,18271.75,Low,Moderate Seller
Tailored Pants 880,Bottom,Men,53.25,Gray,XL,221,11768.25,Medium,Moderate Seller
Vintage Blouse 201,Top,Women,52.26,Blue,L,105,5487.3,Medium,Moderate Seller
Relaxed T-Shirt 824,Top,Men,33.09,Gray,XL,383,12675.0,Low,Moderate Seller
Vintage Shorts 888,Accessory,Women,33.0,Gray,XS,330,10890.0,Low,Moderate Seller
Vintage Sweater 521,Top,Men,36.56,Black,M,345,12613.2,Low,Moderate Seller
Classic Shorts 143,Bottom,Women,85.29,Red,S,140,11940.6,Medium,Moderate Seller
Classic Jeans 137,Bottom,Unisex,76.54,Red,XS,119,9108.26,Medium,Moderate Seller
Flowy Jeans 280,Bottom,Women,62.43,Red,L,54,3371.22,Medium,Slow Mover
Modern Dress 700,Dress,Women,66.82,Green,L,66,4400.12,Medium,Slow Mover
Urban Shorts 199,Bottom,Men,56.77,Gray,S,170,9650.9,Medium,Moderate Seller
Urban Sweater 260,Top,Men,40.16,Pink,XL,148,5943.68,Low,Moderate Seller
Essential T-Shirt 320,Top,Women,52.26,Blue,S,408,21321.28,Medium,Hot Seller
Urban T-Shirt 821,Top,Women,29.98,Pink,S,176,5276.48,Low,Moderate Seller
Essential Jeans 910,Bottom,Unisex,81.16,Blue,M,133,10794.28,Medium,Moderate Seller
Urban Pants 330,Bottom,Women,56.77,Red,XL,259,14703.43,Medium,Moderate Seller
Vintage Skirt 420,Bottom,Women,80.12,Blue,S,96,7691.52,Medium,Slow Mover
Flowy T-Shirt 270,Top,Unisex,36.43,Red,XL,193,7028.99,Low,Moderate Seller
Classic Blouse 610,Top,Women,33.09,White,M,543,17967.87,Low,Hot Seller
Modern Blouse 930,Top,Women,58.82,Red,XS,488,28704.16,Medium,Hot Seller
Relaxed Skirt 680,Bottom,Men,85.29,White,L,102,8699.58,Medium,Moderate Seller
Classic T-Shirt 150,Top,Unisex,40.1,Red,XL,411,16481.1,Low,Hot Seller
Flowy Blouse 691,Top,Unisex,52.26,White,S,312,16305.12,Medium,Moderate Seller
Urban Shorts 190,Bottom,Men,59.38,Green,L,144,8550.72,Medium,Moderate Seller
Modern Sweater 232,Top,Men,35.15,White,S,254,8928.1,Low,Moderate Seller
Urban Sweater 262,Top,Men,43.23,Gray,M,263,11369.49,Low,Moderate Seller
Vintage Jeans 691,Bottom,Men,80.12,Blue,M,140,11216.8,Medium,Moderate Seller
Essential Shorts 510,Bottom,Men,49.25,White,S,309,15218.25,Low,Moderate Seller
Essential Sweater 720,Top,Men,49.25,Black,S,174,8569.5,Low,Moderate Seller
Classic Skirt 140,Bottom,Women,52.26,White,S,531,27749.06,Medium,Hot Seller
Relaxed Jeans 272,Bottom,Unisex,81.16,Beige,M,119,9658.04,Medium,Moderate Seller
Urban T-Shirt 820,Top,Women,33.09,Pink,S,326,10787.34,Low,Moderate Seller
Modern Blouse 932,Top,Women,56.77,Red,XS,413,23445.0,Medium,Hot Seller
Flowy Blouse 692,Top,Unisex,56.77,White,S,219,12432.63,Medium,Moderate Seller
Classic T-Shirt 152,Top,Unisex,43.23,Red,XL,318,13747.14,Low,Moderate Seller
Relaxed Skirt 682,Bottom,Men,80.12,White,L,87,6970.44,Medium,Slow Mover
Modern Shorts 180,Bottom,Unisex,60.84,White,S,105,6388.2,Medium,Moderate Seller
Vintage Skirt 423,Bottom,Women,78.29,Red,XL,96,7515.84,Medium,Slow Mover
Urban Blouse 310,Top,Women,36.56,Pink,L,433,15832.48,Low,Hot Seller
Essential Sweater 320,Top,Men,42.42,Pink,XS,170,7211.4,Low,Moderate Seller
Flowy Sweater 450,Top,Unisex,38.83,Black,XL,294,11416.02,Low,Moderate Seller
Classic Jeans 892,Bottom,Men,59.38,Beige,M,272,16152.56,Medium,Moderate Seller
Vintage Shorts 712,Bottom,Women,76.54,Green,L,133,10180.0,Medium,Moderate Seller
Classic Jacket 130,Outerwear,Men,114.28,Gray,M,117,13370.76,High,Moderate Seller
Tailored Sweater 890,Top,Women,46.06,Blue,XS,378,17400.0,Low,Moderate Seller
Relaxed Jeans 273,Bottom,Unisex,78.29,Red,M,137,10725.73,Medium,Moderate Seller
Relaxed Sweater 710,Top,Unisex,33.68,Gray,L,290,9767.2,Low,Moderate Seller
Relaxed Shorts 130,Accessory,Unisex,28.66,Red,S,465,13326.9,Low,Hot Seller
Urban Sweater 261,Top,Men,42.42,Gray,XL,290,12301.8,Low,Moderate Seller
Modern Dress 703,Dress,Unisex,117.89,Blue,M,119,14028.91,High,Moderate Seller
Tailored Dress 900,Dress,Women,85.58,Blue,XL,87,7445.46,Medium,Slow Mover
Vintage T-Shirt 150,Top,Men,56.77,Gray,S,454,25776.58,Medium,Hot Seller
Modern Shorts 181,Bottom,Unisex,62.85,White,S,105,6600.0,Medium,Moderate Seller
Vintage Skirt 421,Bottom,Women,76.54,Red,XL,87,6658.98,Medium,Slow Mover
Urban Blouse 311,Top,Women,38.83,Pink,L,440,17085.2,Low,Hot Seller
Essential Sweater 321,Top,Men,40.1,Pink,XS,254,10185.4,Low,Moderate Seller
Flowy Sweater 451,Top,Unisex,36.43,Black,XL,380,13843.4,Low,Moderate Seller
Essential Jeans 913,Bottom,Unisex,62.85,Beige,M,119,7479.15,Medium,Moderate Seller
Modern Shorts 481,Bottom,Men,56.77,Gray,M,162,9196.74,Medium,Moderate Seller
Classic Skirt 141,Bottom,Women,52.26,White,S,449,23464.74,Medium,Hot Seller
Tailored Blouse 891,Top,Women,35.15,Green,S,493,17328.95,Low,Hot Seller
Essential Jacket 591,Outerwear,Men,117.89,Red,L,137,16150.93,High,Moderate Seller
Vintage Jacket 261,Outerwear,Women,109.91,Red,S,119,13079.29,High,Moderate Seller
Relaxed Jacket 601,Outerwear,Unisex,144.15,Gray,XL,133,19171.95,High,Moderate Seller
Vintage Dress 410,Dress,Women,102.09,Black,S,117,11944.53,High,Moderate Seller
Essential T-Shirt 328,Top,Men,28.6,Pink,XS,261,7464.6,Low,Moderate Seller
Flowy Shorts 821,Bottom,Men,78.29,Green,M,116,9081.64,Medium,Moderate Seller
Classic Sweater 201,Top,Women,36.43,Red,M,236,8597.48,Low,Moderate Seller
Tailored Jacket 301,Outerwear,Men,112.55,Blue,S,107,12042.85,High,Moderate Seller
Modern Skirt 730,Accessory,Women,41.49,Green,S,212,8795.88,Low,Moderate Seller
Essential Shorts 511,Bottom,Men,49.25,White,M,214,10539.5,Low,Moderate Seller
Urban Jeans 591,Bottom,Unisex,80.12,Blue,S,116,9293.92,Medium,Moderate Seller
Relaxed Dress 491,Dress,Women,79.1,Red,XL,133,10520.3,Medium,Moderate Seller
Essential Blouse 731,Top,Women,56.77,Green,M,325,18450.25,Medium,Moderate Seller
Urban Dress 481,Dress,Women,97.74,Blue,S,115,11240.1,Medium,Moderate Seller
Relaxed Sweater 711,Top,Unisex,36.56,Beige,S,299,10931.44,Low,Moderate Seller
Relaxed Pants 651,Bottom,Men,85.29,Gray,XL,119,10149.51,Medium,Moderate Seller
Flowy Sweater 251,Top,Unisex,38.83,Black,L,214,8309.62,Low,Moderate Seller
Classic Blouse 401,Top,Women,33.09,Green,XS,230,7610.7,Low,Moderate Seller
Modern Pants 261,Bottom,Men,49.25,White,XS,410,20192.5,Low,Hot Seller
Vintage Blouse 202,Top,Women,52.26,Blue,L,221,11549.46,Medium,Moderate Seller
Relaxed Dress 832,Dress,Women,114.28,Blue,M,87,9942.36,High,Slow Mover
Modern Jeans 571,Bottom,Unisex,85.29,Red,XS,137,11684.73,Medium,Moderate Seller
Classic Jacket 131,Outerwear,Men,99.85,Green,M,117,11682.45,Medium,Moderate Seller
Urban Pants 451,Bottom,Women,60.84,Red,M,272,16548.48,Medium,Moderate Seller
Tailored Dress 831,Dress,Women,99.85,Pink,M,119,11882.15,Medium,Moderate Seller
Tailored Skirt 341,Accessory,Women,31.42,Pink,S,460,14453.2,Low,Hot Seller
Flowy Jeans 281,Bottom,Women,68.94,Gray,M,116,7997.04,Medium,Moderate Seller
Modern Blouse 931,Top,Women,52.26,White,XL,319,16669.94,Medium,Moderate Seller
Essential Skirt 621,Bottom,Women,59.38,Gray,XL,107,6353.66,Medium,Moderate Seller
Relaxed Blouse 311,Top,Women,59.3,Red,S,253,15002.9,Medium,Moderate Seller
Classic Dress 441,Dress,Women,97.74,Gray,XS,133,12999.42,Medium,Moderate Seller
Essential Sweater 721,Top,Men,49.25,Black,S,192,9456.0,Low,Moderate Seller
Vintage Jeans 271,Bottom,Men,59.38,Gray,XL,216,12826.08,Medium,Moderate Seller
Vintage Sweater 523,Top,Women,36.43,Red,S,261,9508.23,Low,Moderate Seller
Tailored T-Shirt 271,Top,Women,42.42,Beige,L,451,19131.42,Low,Hot Seller
Relaxed T-Shirt 421,Top,Men,40.1,Pink,S,272,10907.2,Low,Moderate Seller
Classic Jeans 141,Bottom,Unisex,80.12,Blue,L,137,10976.44,Medium,Moderate Seller
Urban T-Shirt 322,Top,Women,52.26,Red,L,230,12019.8,Medium,Moderate Seller
Urban Dress 171,Dress,Men,107.57,Gray,L,104,11187.28,High,Moderate Seller
Essential Jacket 361,Outerwear,Men,145.72,White,M,137,19963.64,High,Moderate Seller
Classic Pants 431,Bottom,Women,62.85,Blue,XS,176,11061.6,Medium,Moderate Seller
Relaxed Shorts 611,Bottom,Men,59.38,Red,L,221,13122.98,Medium,Moderate Seller
Tailored Sweater 511,Top,Women,42.42,Red,L,241,10223.22,Low,Moderate Seller
Modern Jeans 572,Bottom,Women,52.26,Green,XL,254,13274.04,Medium,Moderate Seller
Relaxed Jacket 831,Outerwear,Men,198.27,Red,S,133,26369.91,High,Moderate Seller
Vintage Dress 121,Dress,Women,107.03,Blue,XS,87,9311.61,High,Slow Mover
Modern Sweater 233,Top,Men,59.38,Beige,XS,395,23455.1,Medium,Moderate Seller
Tailored Shorts 291,Bottom,Men,68.94,Green,XL,132,9099.0,Medium,Moderate Seller
Modern Skirt 841,Accessory,Unisex,41.49,Green,L,189,7841.61,Low,Moderate Seller
Tailored Jeans 721,Bottom,Unisex,60.84,Beige,L,210,12776.4,Medium,Moderate Seller
Relaxed Sweater 712,Top,Unisex,49.25,White,M,271,13346.75,Low,Moderate Seller
