ProductTitle,ProductPrice,ProductImageLink,ProductLink
Ribbed button-front top,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296534003.html https://www2.hm.com/en_in/productpage.1296534003.html
Ribbed boat-neck top,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296056008.html https://www2.hm.com/en_in/productpage.1296056008.html
Sweatpants,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1281439007.html https://www2.hm.com/en_in/productpage.1281439007.html
Printed T-shirt,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1274171055.html https://www2.hm.com/en_in/productpage.1274171055.html
Fitted T-shirt,499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1210630001.html https://www2.hm.com/en_in/productpage.1210630001.html
Wide trousers,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1301011002.html https://www2.hm.com/en_in/productpage.1301011002.html
Printed T-shirt,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1274171029.html https://www2.hm.com/en_in/productpage.1274171029.html
Oversized printed T-shirt,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296379011.html https://www2.hm.com/en_in/productpage.1296379011.html
Wide Ultra High Jeans,2299,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1222670029.html https://www2.hm.com/en_in/productpage.1222670029.html
Sweatpants,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1281439001.html https://www2.hm.com/en_in/productpage.1281439001.html
Ribbed top,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.0999727075.html https://www2.hm.com/en_in/productpage.0999727075.html
Cowl-neck top,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1301327003.html https://www2.hm.com/en_in/productpage.1301327003.html
Cotton T-shirt,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296054012.html https://www2.hm.com/en_in/productpage.1296054012.html
Wide joggers,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1199249018.html https://www2.hm.com/en_in/productpage.1199249018.html
Scuba peplum top,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1299852001.html https://www2.hm.com/en_in/productpage.1299852001.html
Short waistcoat,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1290816004.html https://www2.hm.com/en_in/productpage.1290816004.html
Interlock waistcoat,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1299851001.html https://www2.hm.com/en_in/productpage.1299851001.html
Strappy top,799,https://image.hm.com/assets/hm/0d/51/0d512a4169ec5f7d455be1a2ed9cc6c1e814169e.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1293199002.html https://www2.hm.com/en_in/productpage.1293199002.html
Tailored trousers,1499,https://image.hm.com/assets/hm/42/a1/42a1df4b1563a5cc86843112059c72e659fc5f9c.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1296062002.html https://www2.hm.com/en_in/productpage.1296062002.html
Fitted T-shirt,499,https://image.hm.com/assets/hm/1f/40/1f40c326c09dbb38ed89d2ed8a2b0544409e1628.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1260200008.html https://www2.hm.com/en_in/productpage.1260200008.html
Sweatpants,999,https://image.hm.com/assets/hm/ee/97/ee97e12ff71a092d2190b109a277a0cdf07f195b.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1281439008.html https://www2.hm.com/en_in/productpage.1281439008.html
Puff-sleeved dress,1499,https://image.hm.com/assets/hm/dd/3c/dd3c434b49bf93c49e302a816fb9421cbf70f7ed.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1304087001.html https://www2.hm.com/en_in/productpage.1304087001.html
Short waistcoat,1499,https://image.hm.com/assets/hm/0b/a1/0ba1b309286d4c04e66dc05a0da2c4fc6cffa4c6.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1290816001.html https://www2.hm.com/en_in/productpage.1290816001.html
Draped top,799,https://image.hm.com/assets/hm/82/54/82544341d9271b5d0503e29715aa900ae31ed161.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1289929001.html https://www2.hm.com/en_in/productpage.1289929001.html
Ponte di Roma waistcoat,1499,https://image.hm.com/assets/hm/6f/40/6f40c2768a451118fceef458e2fb7ee728b6b465.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1301297002.html https://www2.hm.com/en_in/productpage.1301297002.html
Wide High Jeans,1999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1261750008.html https://www2.hm.com/en_in/productpage.1261750008.html
Cotton vest top,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296059003.html https://www2.hm.com/en_in/productpage.1296059003.html
Draped vest top,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1286903011.html https://www2.hm.com/en_in/productpage.1286903011.html
Frill-collar blouse,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1295532004.html https://www2.hm.com/en_in/productpage.1295532004.html
Cropped cotton shirt,1299,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1294431003.html https://www2.hm.com/en_in/productpage.1294431003.html
Oversized printed T-shirt,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296379013.html https://www2.hm.com/en_in/productpage.1296379013.html
Flounced blouse,2299,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1309875001.html https://www2.hm.com/en_in/productpage.1309875001.html
Oversized printed T-shirt,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296052013.html https://www2.hm.com/en_in/productpage.1296052013.html
Sweatshirt shorts,799,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1152096001.html https://www2.hm.com/en_in/productpage.1152096001.html
Ribbed tube top,399,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1292677002.html https://www2.hm.com/en_in/productpage.1292677002.html
High-waisted leggings,799,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1234748001.html https://www2.hm.com/en_in/productpage.1234748001.html
Printed T-shirt,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1274171072.html https://www2.hm.com/en_in/productpage.1274171072.html
Fine-knit button-front top,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1301377006.html https://www2.hm.com/en_in/productpage.1301377006.html
Draped midi dress,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1300645001.html https://www2.hm.com/en_in/productpage.1300645001.html
Wide joggers,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1199249046.html https://www2.hm.com/en_in/productpage.1199249046.html
Ribbed tube top,399,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1292677005.html https://www2.hm.com/en_in/productpage.1292677005.html
Rib-knit off-the-shoulder top,799,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1300631001.html https://www2.hm.com/en_in/productpage.1300631001.html
Ponte di Roma waistcoat,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1301297001.html https://www2.hm.com/en_in/productpage.1301297001.html
Oversized T-shirt,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1274174023.html https://www2.hm.com/en_in/productpage.1274174023.html
Sweatpants,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1281439006.html https://www2.hm.com/en_in/productpage.1281439006.html
Fine-knit button-front top,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1301377005.html https://www2.hm.com/en_in/productpage.1301377005.html
Buckle-detail tailored trousers,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1224090012.html https://www2.hm.com/en_in/productpage.1224090012.html
Wide jersey trousers,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1261501001.html https://www2.hm.com/en_in/productpage.1261501001.html
Ribbed vest top,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1292587003.html https://www2.hm.com/en_in/productpage.1292587003.html
Smocked plumeti blouse,1999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1290633003.html https://www2.hm.com/en_in/productpage.1290633003.html
Wide High Jeans,1999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1045459058.html https://www2.hm.com/en_in/productpage.1045459058.html
Flared High Jeans,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1260366003.html https://www2.hm.com/en_in/productpage.1260366003.html
Ribbed tube top,399,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1292677004.html https://www2.hm.com/en_in/productpage.1292677004.html
Ribbed tube top,399,https://image.hm.com/assets/hm/e5/0e/e50eb0836fde988e497cffa1c90ac79935d85f87.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1292677004.html https://www2.hm.com/en_in/productpage.1292677004.html
Oversized T-shirt,999,https://image.hm.com/assets/hm/74/2b/742b2e5410842eb449ad8d15636b05684aa032f5.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1274174024.html https://www2.hm.com/en_in/productpage.1274174024.html
Ribbed button-front top,999,https://image.hm.com/assets/hm/82/0d/820d401ccd27863e75b9c93bf1d8d15a1c3fc915.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1296534002.html https://www2.hm.com/en_in/productpage.1296534002.html
Seamless padded soft bra,799,https://image.hm.com/assets/hm/99/86/99868e47366ece0261c15cef3108f2e27213d4d7.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1206002028.html https://www2.hm.com/en_in/productpage.1206002028.html
Fitted cotton T-shirt,699,https://image.hm.com/assets/hm/29/40/2940e5296415040351ac1806a4c6f4e3b22f4421.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1296040002.html https://www2.hm.com/en_in/productpage.1296040002.html
Lace-trimmed vest top,1499,https://image.hm.com/assets/hm/40/38/40388dcb1d0e9862351731317e3871be72fa6c89.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1308428002.html https://www2.hm.com/en_in/productpage.1308428002.html
Linen-blend trousers,1899,https://image.hm.com/assets/hm/63/77/63772af67d3f21421cb8728193e954bf132c3077.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1259065001.html https://www2.hm.com/en_in/productpage.1259065001.html
7-pack hipster briefs,1499,https://image.hm.com/assets/hm/34/31/3431c7a96849aa5c2100dc52525601edd617c58b.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1285630004.html https://www2.hm.com/en_in/productpage.1285630004.html
Oxford shirt,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.0925212019.html https://www2.hm.com/en_in/productpage.0925212019.html
Wide Ultra High Jeans,2299,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1222670023.html https://www2.hm.com/en_in/productpage.1222670023.html
Ribbed vest top,799,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1310485002.html https://www2.hm.com/en_in/productpage.1310485002.html
Draped top,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1299843002.html https://www2.hm.com/en_in/productpage.1299843002.html
Lace-trimmed vest top,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1274285007.html https://www2.hm.com/en_in/productpage.1274285007.html
Wide High Jeans,1999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1045459060.html https://www2.hm.com/en_in/productpage.1045459060.html
Oversized printed T-shirt,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296379005.html https://www2.hm.com/en_in/productpage.1296379005.html
Bandeau peplum top,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1305305001.html https://www2.hm.com/en_in/productpage.1305305001.html
Oversized printed T-shirt,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296052001.html https://www2.hm.com/en_in/productpage.1296052001.html
Cotton T-shirt,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296054003.html https://www2.hm.com/en_in/productpage.1296054003.html
Straight High Jeans,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1209534008.html https://www2.hm.com/en_in/productpage.1209534008.html
Zip-through hoodie,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1213772001.html https://www2.hm.com/en_in/productpage.1213772001.html
Interlock waistcoat,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1299851004.html https://www2.hm.com/en_in/productpage.1299851004.html
Cotton T-shirt,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.0963662159.html https://www2.hm.com/en_in/productpage.0963662159.html
Ribbed button-front top,999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1296534001.html https://www2.hm.com/en_in/productpage.1296534001.html
Straight crease-leg trousers,1999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1293556006.html https://www2.hm.com/en_in/productpage.1293556006.html
Flared High Jeans,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1260366001.html https://www2.hm.com/en_in/productpage.1260366001.html
Fitted T-shirt,799,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1142908061.html https://www2.hm.com/en_in/productpage.1142908061.html
Pleated poplin shirt,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1308416001.html https://www2.hm.com/en_in/productpage.1308416001.html
Scoop-neck blouse,2299,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1258821005.html https://www2.hm.com/en_in/productpage.1258821005.html
Crinkled drawstring trousers,1299,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1275461005.html https://www2.hm.com/en_in/productpage.1275461005.html
Oversized blouse,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1295101003.html https://www2.hm.com/en_in/productpage.1295101003.html
Pull-on denim trousers,2499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1270967004.html https://www2.hm.com/en_in/productpage.1270967004.html
Oversized cotton poplin shirt,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1290269003.html https://www2.hm.com/en_in/productpage.1290269003.html
Oxford shirt,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.0925212032.html https://www2.hm.com/en_in/productpage.0925212032.html
Tailored trousers,1499,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1292993001.html https://www2.hm.com/en_in/productpage.1292993001.html
Printed T-shirt,699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www2.hm.com/en_in/productpage.1274171045.html https://www2.hm.com/en_in/productpage.1274171045.html
Cotton poplin pyjamas,2799,https://image.hm.com/assets/hm/12/32/12326c66091a6d321e313029f09b39f806ff43d5.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1236623005.html https://www2.hm.com/en_in/productpage.1236623005.html
Oversized blouse,1499,https://image.hm.com/assets/hm/88/f0/88f00e12c73e226e16bf67911b0fc711da6d1fc3.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1295101003.html https://www2.hm.com/en_in/productpage.1295101003.html
Wide High Jeans,1999,https://image.hm.com/assets/hm/b4/d6/b4d6e0ca6052526b365b70d426d7da3321d52a88.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.0871889043.html https://www2.hm.com/en_in/productpage.0871889043.html
Cotton T-shirt,699,https://image.hm.com/assets/hm/1b/4a/1b4a70a54c95cc153da6445acce6d61a47f989c5.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1296053010.html https://www2.hm.com/en_in/productpage.1296053010.html
Rib-knit peplum waistcoat,1899,https://www2.hm.com/en_in/women/shop-by-product/view-all.html?page=5 https://image.hm.com/assets/hm/52/b2/52b2fbd85962ba02c68e7f05ec8fd7564f6166cf.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1296257001.html https://www2.hm.com/en_in/productpage.1296257001.html
Oversized cotton poplin shirt,1499,https://image.hm.com/assets/hm/15/19/151961fb3fc8f61d1943f52f88c586b3cb5551aa.jpg?imwidth=1536,https://www2.hm.com/en_in/productpage.1290269003.html https://www2.hm.com/en_in/productpage.1290269003.html
